participantID,neoNeuroticism,neoExtraversion,neoOpenness,neoAgreeableness,neoConscientiousness
85,2.636904762,1.107142857,1.547619048,2.702380952,2.494047619
54,1.916666667,2.25,1.869047619,2.964285714,3.273809524
78,3.083333333,1.553571429,2.119047619,3.238095238,2.68452381
97,1.68452381,2.047619048,2.345238095,3.226190476,2.904761905
48,0.797619048,2.071428571,1.577380952,3.089285714,3.261904762
9,2.541666667,1.56547619,2.55952381,3.220238095,2.56547619
13,1.5,2.44047619,1.904761905,3.101190476,2.80952381
17,1.30952381,2.386904762,2.351190476,3.410714286,2.773809524
135,2.357142857,2.18452381,2.446428571,3.172619048,2.416666667
67,2.648809524,1.619047619,1.958333333,2.369047619,2.136904762
88,2.452380952,1.630952381,1.982142857,2.976190476,2.875
132,2.547619048,1.345238095,1.482142857,2.845238095,2.095238095
127,2.339285714,2.160714286,2.095238095,2.988095238,3.095238095
56,2.30952381,2.857142857,2.755952381,3.297619048,2.863095238
52,2.958333333,0.910714286,1.755952381,2.714285714,2.660714286
125,1.101190476,2.505952381,2.202380952,3.660714286,3.303571429
39,1.154761905,2.738095238,2.029761905,2.886904762,3.25
1,2.511904762,1.505952381,1.547619048,2.422619048,2
25,1.392857143,1.773809524,2.077380952,2.738095238,3.023809524
53,1.44047619,2.630952381,2.25,3.238095238,3.226190476
6,3.148809524,1.535714286,1.886904762,2.761904762,2.023809524
114,0.732142857,2.357142857,1.648809524,3.005952381,2.833333333
128,1.714285714,1.797619048,2.011904762,3.529761905,2.988095238
86,1.964285714,2.196428571,2.696428571,3.345238095,2.803571429
61,0.702380952,3.041666667,2.523809524,3.208333333,3.494047619
130,0.892857143,3.035714286,2.702380952,2.827380952,2.851190476
96,2.232142857,2.089285714,2.226190476,3.351190476,2.339285714
76,2.761904762,1.952380952,2.410714286,2.994047619,2.601190476
3,2.386904762,2.285714286,2.285714286,3.107142857,2.601190476
33,2.375,1.767857143,2.601190476,3.017857143,2.738095238
11,1.68452381,1.910714286,1.720238095,2.863095238,2.875
99,0.81547619,2.535714286,1.964285714,3.214285714,3.386904762
50,1.726190476,2.44047619,2.505952381,3.529761905,3.255952381
2,2.857142857,2.130952381,1.952380952,2.416666667,1.994047619
28,0.630952381,2.416666667,1.505952381,2.767857143,2.797619048
65,2.791666667,1.791666667,1.68452381,2.833333333,2.43452381
118,1.738095238,2.488095238,2.55952381,3.363095238,2.547619048
122,2.053571429,1.791666667,1.839285714,3.047619048,3.011904762
138,2.43452381,1.226190476,1.505952381,2.619047619,1.863095238
113,1.392857143,2.369047619,1.803571429,3.136904762,3.321428571
104,1.297619048,2.648809524,2.273809524,3.125,3.148809524
89,1.619047619,1.738095238,1.642857143,2.351190476,2.255952381
147,1.238095238,1.345238095,1.81547619,2.619047619,2.160714286
93,1.827380952,2.083333333,2.119047619,3.321428571,3.095238095
47,1.113095238,2.113095238,2.077380952,3.238095238,2.744047619
121,1.511904762,2.43452381,2.327380952,3.351190476,3.339285714
22,1.773809524,1.910714286,1.648809524,2.958333333,2.755952381
68,0.773809524,2.589285714,2.095238095,3.327380952,2.875
84,1.595238095,2.517857143,1.636904762,2.970238095,3.44047619
35,1.785714286,2.154761905,1.892857143,2.93452381,3.351190476
69,2.285714286,2.244047619,2.244047619,3.214285714,3.345238095
80,0.94047619,2.327380952,1.898809524,3.303571429,2.851190476
131,1.696428571,2.636904762,2.244047619,3.369047619,2.732142857
107,2.744047619,1.517857143,1.75,2.577380952,3.017857143
112,2.005952381,1.119047619,1.333333333,2.732142857,2.535714286
79,0.553571429,2.232142857,1.613095238,3.208333333,2.511904762
40,2.726190476,1,1.708333333,2.470238095,2.583333333
81,3.535714286,0.964285714,2,2.81547619,1.755952381
74,1.238095238,1.68452381,1.839285714,3.30952381,2.970238095
119,2,2.398809524,2.232142857,3.220238095,2.922619048
60,2.642857143,2.333333333,2.035714286,2.529761905,2.255952381
41,1.892857143,2.523809524,2.119047619,2.654761905,2.797619048
129,0.857142857,2.738095238,1.910714286,3.148809524,3.130952381
4,3.083333333,1.892857143,2.30952381,2.416666667,2.089285714
30,0.660714286,3.363095238,2.327380952,3.071428571,2.339285714
27,2.279761905,2.279761905,2.297619048,3.05952381,3
105,2.553571429,1.613095238,1.827380952,3.30952381,1.904761905
137,2.476190476,1.964285714,1.880952381,3.202380952,2.994047619
55,1.208333333,2.386904762,2.321428571,3.095238095,2.470238095
139,1.267857143,2.220238095,2.125,3.166666667,2.982142857
26,2.142857143,2.363095238,2.255952381,3.029761905,3.244047619
57,2.238095238,2.19047619,2.160714286,3.273809524,2.880952381
140,1.261904762,2.720238095,2.547619048,3.303571429,2.583333333
91,1.386904762,1.827380952,2.178571429,3.482142857,3.089285714
82,2.422619048,1.494047619,2.19047619,3.494047619,2.672619048
64,1.517857143,2.101190476,2.119047619,3.208333333,3.220238095
8,1.672619048,2.529761905,2.047619048,3.095238095,3.30952381
120,2.06547619,2.220238095,2.386904762,3.011904762,3.172619048
36,2.803571429,1.535714286,1.821428571,3.053571429,2.553571429
111,0.761904762,2.833333333,2.31547619,3.142857143,3.517857143
23,1.369047619,2.714285714,2.666666667,3.148809524,2.30952381
102,2.648809524,1.958333333,2.285714286,3,2.845238095
66,1.154761905,1.785714286,1.773809524,2.571428571,2.958333333
133,2.458333333,1.898809524,1.964285714,3.398809524,3.05952381
70,1.797619048,3.25,3.148809524,3.303571429,2.857142857
44,1.708333333,2.880952381,2.107142857,3.202380952,2.678571429
20,2.220238095,2.726190476,2.30952381,3.273809524,3.255952381
58,1.696428571,1.023809524,1.666666667,2.523809524,2.005952381
7,2.160714286,1.55952381,2.148809524,3.238095238,2.791666667
87,0.666666667,2.446428571,1.81547619,3.261904762,3.488095238
51,2.714285714,2.279761905,2.232142857,2.101190476,1.875
5,2.55952381,2.255952381,2.31547619,3.31547619,2.988095238
94,1.130952381,2.416666667,2.071428571,3.136904762,2.928571429
83,3.017857143,0.68452381,1.416666667,2.404761905,2.30952381
15,2.797619048,2.625,2.642857143,2.892857143,2.291666667
134,2.488095238,2.130952381,2.452380952,2.773809524,2.267857143
98,2.43452381,1.666666667,1.946428571,3.047619048,2.910714286
109,2.041666667,1.75,2.345238095,3.232142857,2.577380952
37,1.011904762,2.738095238,1.726190476,3.339285714,2.81547619
19,2.422619048,0.892857143,1.767857143,3.136904762,2.898809524
32,1.136904762,3.136904762,2.702380952,2.922619048,2.678571429
10,2.172619048,3.160714286,2.898809524,2.285714286,2.380952381
72,1.386904762,2.285714286,1.916666667,3.18452381,2.964285714
62,1.357142857,2.577380952,2.125,2.916666667,2.821428571
59,0.785714286,1.946428571,1.369047619,3.452380952,3.077380952
108,1.93452381,2.446428571,2.125,2.845238095,3.113095238
103,3.071428571,1.369047619,2.43452381,2.916666667,1.833333333
100,1.261904762,2.238095238,1.863095238,2.94047619,2.839285714